Timestamp,Username,What is the most important factor for you when choosing a flatmate? ,How do you prefer your flatmate’s daily routine to be? ,What level of social activity do you expect from your flatmate?  ,"How do you feel about sharing expenses with a flatmate?
",Which quality do you think is a deal-breaker in a flatmate?  ,How important is having similar hobbies or interests with your flatmate?  
2025-08-31 08:43:27,carla26@brooks.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 20:25:15,mitchelldustin@yahoo.com,Cleanliness & hygiene,Doesn’t matter to me,Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 19:49:55,lisa81@baldwin.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),I prefer to keep finances separate,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 10:01:46,stephanie42@moore.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Lack of cleanliness,I prefer completely different hobbies
2025-08-30 05:04:57,tdiaz@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 00:57:44,courtneylee@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 00:22:54,jbyrd@green.net,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 20:45:57,santosscott@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 02:35:30,garyreynolds@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 06:27:22,jwoods@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 21:49:53,taylorsabrina@oneill.biz,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 04:35:18,qpena@valdez-dillon.org,Friendly & cooperative nature,Early bird,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 04:01:23,fostertiffany@dalton.org,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 14:59:40,bfox@hogan.com,Similar lifestyle & interests,Early bird,Very social (likes to hang out often),I prefer to keep finances separate,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 12:16:47,ylowe@guzman.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 05:12:05,christophercarr@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 12:14:20,kylejackson@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 09:17:38,dmiller@ross-miller.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 15:02:05,hunterreyes@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 16:58:44,angelabarnes@chaney-cook.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 17:40:52,greenmegan@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 10:52:54,vspencer@gmail.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 01:06:34,rebecca83@yahoo.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 06:08:13,smithfrancisco@pham.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 19:14:45,joseph35@quinn.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 02:10:29,steven15@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 14:45:27,gary73@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 18:44:49,smithrobert@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 09:08:24,emily24@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 11:17:48,hpowers@yahoo.com,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Very important (I want to share activities)
2025-08-31 17:27:16,melissa23@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 06:11:44,fsmith@gould-rogers.info,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 22:10:35,pricebrian@forbes.info,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 02:41:20,isaiahreyes@huffman.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 09:04:59,cynthia90@holland.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 09:13:31,hensleypatrick@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 17:46:42,jodile@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,"Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 07:43:53,powersphillip@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 05:56:37,christophermaldonado@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 19:56:01,ronald64@hurley-french.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 02:28:51,kalexander@bradley.org,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 03:20:25,rachelparker@patterson-white.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 05:06:53,fmartin@powell.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 02:24:46,osmith@king.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 16:57:04,dawsontiffany@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 14:52:37,teresa78@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 11:32:30,paulbanks@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 12:17:03,shelbypeters@hotmail.com,Similar lifestyle & interests,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 05:08:52,catherinemarshall@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 19:32:38,tjohnson@kelley-carter.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 05:16:03,hansontracey@gmail.com,Cleanliness & hygiene,Doesn’t matter to me,Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 19:37:55,gardneremily@allen.net,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 09:07:59,alexander88@buchanan.net,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 17:40:40,stefanie89@singh-holmes.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 03:27:29,albert85@yahoo.com,Similar lifestyle & interests,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 02:28:33,johnjohnson@lane.com,Friendly & cooperative nature,Doesn’t matter to me,Doesn’t matter to me,"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 15:59:47,carol24@lutz.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 07:20:27,shelby61@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 01:11:05,deanna64@blanchard.biz,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 05:26:20,mtaylor@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 22:19:09,lmoore@wilson.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 12:52:17,georgecurtis@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 11:53:56,angela24@hotmail.com,Similar lifestyle & interests,Early bird,Very social (likes to hang out often),"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 16:17:27,masonlaura@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 01:51:12,karen46@hotmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 15:15:45,williamespinoza@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 12:24:01,christophermcfarland@taylor-gray.net,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 14:44:41,ugutierrez@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 04:26:36,slewis@hotmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 13:18:15,tammy75@owens.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 03:34:37,kim77@hotmail.com,Friendly & cooperative nature,Early bird,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 13:07:35,gina45@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 12:53:39,cbrown@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 13:16:43,adamsrobert@hotmail.com,Study/Work habits,"Night owl (stays up late, wakes up late)",Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 23:53:20,kevin07@west.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),I prefer to keep finances separate,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 03:13:51,fdiaz@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 01:32:08,lindamclaughlin@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 06:32:14,lisabrown@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 11:00:14,zferguson@gibson.com,Similar lifestyle & interests,Early bird,Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 19:03:58,silvafranklin@gmail.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 18:17:48,vangallison@walker.org,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 16:48:14,stephenturner@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 19:48:42,hamiltonrussell@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 10:52:24,sherrysalazar@yahoo.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 17:17:48,davidcook@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 15:21:37,james65@lambert.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),"Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 06:38:23,qpetty@fox.com,Similar lifestyle & interests,Early bird,Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:00:20,bsanchez@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 08:03:47,danielle78@smith-johnson.com,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 12:35:46,morgansarah@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 07:41:56,twilliams@russell-johnson.biz,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 13:12:56,qnichols@gould.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 18:10:14,patrickthompson@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 07:59:08,patrick42@gmail.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
2025-08-30 22:16:12,sue34@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 10:36:34,nbarker@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 11:33:26,mariacampbell@miller.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 23:13:11,wilsonleslie@thomas-ray.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 10:27:20,lhawkins@smith.net,Friendly & cooperative nature,Doesn’t matter to me,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 02:51:43,daniel17@rodriguez.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 05:32:30,perkinsshawna@walker.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 17:51:38,fdean@kelley.com,Study/Work habits,Flexible (adjusts as needed),Very social (likes to hang out often),Strictly 50-50 split,Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 16:51:05,angela04@smith.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 04:02:23,rebeccagonzales@vega.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 20:27:38,veronica47@robinson.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 05:19:59,uquinn@martin-sexton.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 10:41:17,rrussell@rhodes.org,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 22:06:00,martin58@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 20:08:03,nmcintosh@munoz.biz,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 08:56:35,castillojoshua@james.com,Study/Work habits,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Lack of cleanliness,Very important (I want to share activities)
2025-08-31 21:11:13,fernandezray@rhodes-gray.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 15:03:00,mary14@hudson.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 05:41:04,danieladams@mclaughlin-morgan.com,Similar lifestyle & interests,Early bird,Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 14:02:35,antonio10@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 18:36:37,douglas23@clark.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 00:27:32,steven20@wheeler.net,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 01:38:42,megangillespie@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,"Flexible, based on usage",Loud or disturbing behavior,I prefer completely different hobbies
2025-08-30 14:43:13,mbartlett@harrison.biz,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 15:48:33,ryanjones@haney.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 03:31:24,alexamcintyre@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 20:30:36,paige04@hotmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 23:21:15,sierraelliott@tyler.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 09:27:09,hsmith@hotmail.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 22:42:21,deniselloyd@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,I prefer completely different hobbies
2025-08-31 23:53:01,xjones@palmer.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 22:13:48,kimjames@dawson.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 02:41:51,lauriesandoval@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 21:24:39,davismelissa@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
